297.1620	DATA	Keypress:v held
297.1620	DATA	earn v
300.3714	DATA	Keypress: t
300.4043	DATA	Keypress:t held
300.7594	DATA	Keypress: t
301.1648	DATA	Keypress: t
301.4175	DATA	Keypress:t held
301.5700	DATA	Keypress: t
301.9417	DATA	Keypress: t
302.3134	DATA	Keypress: t
302.4306	DATA	Keypress:t held
302.6847	DATA	Keypress: t
303.4439	DATA	Keypress:t held
303.4440	DATA	earn t
307.5314	DATA	Keypress: v
307.5643	DATA	Keypress:v held
307.9196	DATA	Keypress: v
308.3585	DATA	Keypress: v
308.5776	DATA	Keypress:v held
308.7471	DATA	Keypress: v
309.1526	DATA	Keypress: v
309.5420	DATA	Keypress: v
309.5908	DATA	Keypress:v held
309.5909	DATA	earn v
311.0606	DATA	Keypress: v
311.7186	DATA	Keypress:v held
313.5937	DATA	Keypress: t
313.6269	DATA	Keypress:t held
313.9665	DATA	Keypress: t
314.3368	DATA	Keypress: t
314.6400	DATA	Keypress:t held
314.7251	DATA	Keypress: t
315.0964	DATA	Keypress: t
315.4682	DATA	Keypress: t
315.6532	DATA	Keypress:t held
315.8228	DATA	Keypress: t
316.2113	DATA	Keypress: t
316.5829	DATA	Keypress: t
316.6665	DATA	Keypress:t held
318.5080	DATA	Keypress: v
318.5410	DATA	Keypress:v held
318.5410	DATA	earn v
318.9131	DATA	Keypress: v
319.3201	DATA	Keypress: v
319.7275	DATA	Keypress: v
320.0423	DATA	start rating L
320.1564	DATA	Keypress: v
322.4180	DATA	Keypress: t
325.0198	DATA	Keypress: t
326.1003	DATA	Keypress: t
331.2983	DATA	Keypress: return
331.2986	DATA	RatingScale rateL_scale: (key response) rating=2
331.2987	DATA	RatingScale rateL_scale: rating RT=11.256
331.2991	DATA	2.0
331.2991	DATA	end rating L
331.4129	DATA	start rating R
332.9060	DATA	Keypress: v
334.2571	DATA	Keypress: return
334.2575	DATA	RatingScale rateR_scale: (key response) rating=5
334.2575	DATA	RatingScale rateR_scale: rating RT=2.845
334.2580	DATA	5.0
334.2590	DATA	end rating R
338.6033	DATA	Keypress: v
338.6196	DATA	Keypress:v held
338.6197	DATA	earn v
340.1401	DATA	Keypress: v
340.6972	DATA	Keypress: v
340.7811	DATA	Keypress:v held
340.7812	DATA	earn v
341.1549	DATA	Keypress: v
341.9772	DATA	Keypress: v
342.3691	DATA	Keypress: v
342.8432	DATA	Keypress: v
342.9933	DATA	Keypress:v held
343.2642	DATA	Keypress: v
343.6864	DATA	Keypress: v
344.0065	DATA	Keypress:v held
344.1085	DATA	Keypress: v
345.0197	DATA	Keypress:v held
345.4598	DATA	Keypress: t
345.9494	DATA	Keypress: t
346.0329	DATA	Keypress:t held
346.3715	DATA	Keypress: t
346.7598	DATA	Keypress: t
347.0462	DATA	Keypress:t held
347.1821	DATA	Keypress: t
347.5705	DATA	Keypress: t
347.9757	DATA	Keypress: t
348.0594	DATA	Keypress:t held
348.3479	DATA	Keypress: t
348.7694	DATA	Keypress: t
349.0726	DATA	Keypress:t held
349.1407	DATA	Keypress: t
350.0857	DATA	Keypress:t held
351.7583	DATA	Keypress: v
351.7915	DATA	Keypress:v held
352.1467	DATA	Keypress: v
352.5013	DATA	Keypress: v
352.8051	DATA	Keypress:v held
352.8898	DATA	Keypress: v
353.2614	DATA	Keypress: v
353.6329	DATA	Keypress: v
353.8179	DATA	Keypress:v held
354.0042	DATA	Keypress: v
354.3591	DATA	Keypress: v
354.7306	DATA	Keypress: v
354.8312	DATA	Keypress:v held
355.1022	DATA	Keypress: v
355.8444	DATA	Keypress:v held
355.8444	DATA	earn v
358.1079	DATA	Keypress: t
358.1410	DATA	Keypress:t held
358.4963	DATA	Keypress: t
358.8847	DATA	Keypress: t
359.1543	DATA	Keypress:t held
359.2562	DATA	Keypress: t
359.6278	DATA	Keypress: t
359.9993	DATA	Keypress: t
360.1675	DATA	Keypress:t held
360.3707	DATA	Keypress: t
360.7425	DATA	Keypress: t
361.1476	DATA	Keypress: t
361.1808	DATA	Keypress:t held
361.5359	DATA	Keypress: t
362.1940	DATA	Keypress:t held
364.4238	DATA	Keypress: v
364.4568	DATA	Keypress:v held
364.8303	DATA	Keypress: v
365.2512	DATA	Keypress: v
365.4700	DATA	Keypress:v held
365.6394	DATA	Keypress: v
366.0448	DATA	Keypress: v
366.4502	DATA	Keypress: v
366.4833	DATA	Keypress:v held
366.8723	DATA	Keypress: v
367.2607	DATA	Keypress: v
367.4965	DATA	Keypress:v held
367.6829	DATA	Keypress: v
368.0714	DATA	Keypress: v
368.4935	DATA	Keypress: v
368.5266	DATA	Keypress:v held
368.9156	DATA	Keypress: v
369.3549	DATA	Keypress: v
369.5398	DATA	Keypress:v held
371.2636	DATA	Keypress: t
371.3130	DATA	Keypress:t held
371.6681	DATA	Keypress: t
372.0566	DATA	Keypress: t
372.3262	DATA	Keypress:t held
372.4448	DATA	Keypress: t
372.8501	DATA	Keypress: t
373.2219	DATA	Keypress: t
373.3394	DATA	Keypress:t held
373.6271	DATA	Keypress: t
373.9984	DATA	Keypress: t
374.3526	DATA	Keypress:t held
374.4040	DATA	Keypress: t
374.7925	DATA	Keypress: t
375.1808	DATA	Keypress: t
375.3659	DATA	Keypress:t held
375.6029	DATA	Keypress: t
376.0251	DATA	Keypress: t
